Project;File_Path;SATD_Comment;Commit_Removal;Is_Conditional_Change_Related_To_SATD;Category
Camel;components/camel-cxf/src/main/java/org/apache/camel/component/cxf/CxfSoapBinding.java;//TODO use the type converter to do this kind of thing;fa8ff446cce84d236b7310c70a9191f85529a886;NO;
Camel;camel-core/src/main/java/org/apache/camel/converter/jaxp/StaxConverter.java;//FIXME - if not woodstox, this will likely not work well //likely should copy CXF's W3CDOM stuff;fcd2accf2d9417531a19bd0d6527b60001b83f6a;YES;REMOVE CODE
Camel;camel-core/src/main/java/org/apache/camel/management/InstrumentationLifecycleStrategy.java;// add intercept strategy that executes the JMX instrumentation for performance metrics // TODO: We could do as below with an inlined implementation instead of a separate class;0d6538dcd810e0df76238c3fb6fe9caf9a047321;NO;
Camel;camel-core/src/main/java/org/apache/camel/management/mbean/ManagedCamelContext.java;// the status can be: // - in use = used by Camel // - classpath = on the classpath // - release = available from the Apache Camel release // TODO: gather list of components in the Camel release;0dac21ecdd88db0d9371971d9a5e90c1bed7f715;NO;
Camel;camel-core/src/main/java/org/apache/camel/component/file/GenericFileProducer.java;// use a generated filename if no name provided // TODO: Consider to require end user to always provide a filename instead of generating a new name;15c1075101d7bbbca496dcb40a3439994095c48f;NO;
Camel;components/camel-spark/src/main/java/org/apache/camel/component/spark/CamelSparkRoute.java;// TODO: how to handle exchange failures;183bbef21c8b4db6b1b0f83052df395c7adc8537;YES;ADD CONTROL LOGIC
Camel;components/camel-cxf/src/main/java/org/apache/camel/component/cxf/CxfProducer.java;// TODO: maybe it should be mandatory body?;1d1549541d3489182b049d91638d56b57afd6c02;NO;
Camel;camel-core/src/main/java/org/apache/camel/management/CamelNamingStrategy.java;// TODO: figure out the route id;1f8b845dc4bd7283331beba18ab0e30a11f986ec;NO;
Camel;components/camel-swagger-java/src/main/java/org/apache/camel/swagger/RestSwaggerApiDeclarationServlet.java;// TODO: implement these;2047a2043f8a0ab12a3a4de6c94bfb304ad9c179;YES;REMOVE PRE_CONDITION
Camel;components/camel-google-drive/src/main/java/org/apache/camel/component/google/drive/GoogleDriveEndpoint.java;// TODO add extra APIs here;2243e251e0f9426a1a7ae3b0c6fdc2fef78cee8b;YES;ADD BRANCH
Camel;components/camel-websocket/src/main/java/org/apache/camel/component/websocket/WebsocketEndpoint.java;// TODO: init globalStore;26fde470fd08a3963461015acc941af9000cbb87;YES;REMOVE CODE
Camel;camel-core/src/main/java/org/apache/camel/impl/DefaultCamelContext.java;// TODO: should we support not starting rest?;2e4e7f88ac2ed9329790737f28b67b626b0b7d4a;YES;ADD CONTROL LOGIC
Camel;camel-core/src/main/java/org/apache/camel/model/rest/RestDefinition.java;// TODO: add more options here;2f856a6bf67ad994e48a950e4f6dc1e859e287b8;NO;
Camel;camel-core/src/main/java/org/apache/camel/impl/RouteService.java;// TODO should we stop the actual Route objects??;362798357adb404f5d863b25e74854650f95034d;YES;ADD CONTROL LOGIC
Camel;camel-core/src/main/java/org/apache/camel/processor/aggregate/AggregateProcessor.java;// TODO: if we are completed from batch consumer then they should all complete (trigger that like timeout map);36f97b8fc034ccdde887c9155b7b3be2d9d8cb98;YES;ADD PRE_CONDITION
Camel;camel-core/src/main/java/org/apache/camel/processor/RedeliveryErrorHandler.java;// depending on what kind of error handler we should;3ec88a547cd2de69fc8b4f0ef47fba82d867bb67;YES;REMOVE CODE
Camel;camel-core/src/main/java/org/apache/camel/component/seda/SedaConsumer.java;// TODO: It ought to be UnitOfWork that did the callback notification but we are planning // to replace it with a brand new Async API so we leave it as is;486cd9c629053e9c2e18f7515457efd2a3c631da;YES;REMOVE CODE
Camel;components/camel-http/src/main/java/org/apache/camel/component/http/HttpProducer.java;// TODO: Damm this is not readable code (nested ? - please dont);4a5115082f9db22b5aa66b93054745cb0415cf34;YES;CHANGE CONDITIONAL EXPRESSION
Camel;camel-core/src/main/java/org/apache/camel/model/OnExceptionDefinition.java;// TODO: the exceptions list should use classresolver to load;4c7e153c306ce72f24c728b91ca4fe8d5e0c7c36;YES;CHANGE CONDITIONAL EXPRESSION
Camel;components/camel-sjms/src/main/java/org/apache/camel/component/sjms/SjmsEndpoint.java;// // TODO since we only need a session pool for one use case, find a better way // // We only create a session pool when we are not transacted. // Transacted listeners or producers need to be paired with the // Session that created them.;520e55fa81f7aa9faa65960ad36be0af8f3d03d0;YES;REMOVE CODE
Camel;components/camel-sjms/src/main/java/org/apache/camel/component/sjms/SjmsEndpoint.java;// TODO fix the string hack;520e55fa81f7aa9faa65960ad36be0af8f3d03d0;YES;REMOVE CODE
Camel;camel-core/src/main/java/org/apache/camel/impl/DefaultCamelContext.java;// TODO we should support non-singletons in the lifecycle;52f3335ced55035503a16efb32b94deb4eed73aa;YES;ADD BRANCH
Camel;components/camel-spring/src/main/java/org/apache/camel/spring/handler/BeanDefinitionParser.java;// TODO the following code is copied from AbstractSimpleBeanDefinitionParser // it can be removed if ever the doParse() method is not final! // or the Spring bug http://jira.springframework.org/browse/SPR-4599 is resolved;ca797ae576e4138f39cd99bcdfc51fefc0905417;NO;
Camel;camel-core/src/main/java/org/apache/camel/impl/ActiveMQUuidGenerator.java;// TODO: replace the following line with IOHelper.close(ss) when Java 6 support is dropped;ca7fe37339d436e0c69630adffb298b747d3a5af;YES;REMOVE PRE_CONDITION
Camel;camel-core/src/main/java/org/apache/camel/management/InstrumentationLifecycleStrategy.java;// TODO: Disabled for now until we find a better strategy for registering routes in the JMX // without altering the route model. The route model should be much the same as without JMX to avoid // a gap that causes pain to get working with and without JMX enabled. We have seen to many issues with this already.;cf11eb8fb4e6ca187b573513e49b58cdc361771b;YES;CHANGE CONDITIONAL EXPRESSION
