Project;File_Path;SATD_Comment;Commit_Removal;Change_Type
Camel;camel-core/src/test/java/org/apache/camel/issues/ExceptionTest.java;// TODO: CAMEL-4022. Message should probably not go to DLC for this scenario // We need agree on a solution and implement it. See jira for more details.;0d50c37a5716a539b20732bd049f9da57114d420;Method Removal
Camel;camel-core/src/test/java/org/apache/camel/issues/ExceptionTest.java;// TODO: CAMEL-4022. Set a breakpoint here and see the body growing "FATAl FATAL ... Exception thrown" // See discussion in the issue above for solution found (which will probably lead to changing this test;0d50c37a5716a539b20732bd049f9da57114d420;Method Changed
Camel;camel-core/src/main/java/org/apache/camel/management/InstrumentationLifecycleStrategy.java;// add intercept strategy that executes the JMX instrumentation for performance metrics // TODO: We could do as below with an inlined implementation instead of a separate class;0d6538dcd810e0df76238c3fb6fe9caf9a047321;Method Changed
Camel;components/camel-cxf/src/main/java/org/apache/camel/component/cxf/CxfSoapConsumer.java;//TODO copy the right header information;0d654ef76d63f65a81f465f2c5d02cc32e6a0b48;Class Removal
Camel;camel-core/src/main/java/org/apache/camel/management/mbean/ManagedCamelContext.java;// the status can be: // - in use = used by Camel // - classpath = on the classpath // - release = available from the Apache Camel release // TODO: gather list of components in the Camel release;0dac21ecdd88db0d9371971d9a5e90c1bed7f715;Method Changed
Camel;components/camel-jms/src/test/java/org/apache/camel/component/jms/JmsRouteRequestReplyTest.java;// TODO: Fix this test for upgrading from active-5.0.0 to 5.1.0 (CAMEL-559);0ea246b144f7ffb804c815e824e4d59f4b624948;Method Changed
Camel;camel-core/src/main/java/org/apache/camel/component/bean/BeanInfo.java;// TODO: This code is not covered by existing unit test in camel-core, need to be tested;1061de9da622ea5a0b471465080b22580d324dad;Method Unchanged
Camel;components/camel-http/src/main/java/org/apache/camel/component/http/HttpProducer.java;// TODO we might be PUT? - have some better way to explicitly choose method;10632b64bd6364652867951f9389867c43a613bd;Method Changed
Camel;components/camel-cxf/src/main/java/org/apache/camel/component/cxf/CxfSoapConsumer.java;// TODO: chain.onMessage(),;108cb196c25758d2e387f748df1cfd63ec416ca7;Method Changed
Camel;camel-core/src/main/java/org/apache/camel/model/InterceptSendToEndpointDefinition.java;// TODO: Add dyanmic proxy support in that sence it should be some callback hooks in CamelContext to // you can register to do custom endpoint lookup or add to registry;1137c092060383579728cf25dd188a933dc0ce12;Method Removal
Camel;camel-core/src/main/java/org/apache/camel/model/InterceptDefinition.java;// TODO: is needed when we add support for when predicate;11492a188ba2166db3e777e61be9fb9780bb8cc8;Method Changed
Camel;camel-spring/src/main/java/org/apache/camel/spring/SpringInjector.java;// TODO now lets inject spring...;11594acbcb63921e00208b3f453723d98e246693;Method Changed
Camel;components/camel-spring/src/main/java/org/apache/camel/spring/RouteBuilderFinder.java;// lets add all the available class loaders just in case of weirdness // we could make this more strict once we've worked out all the gremlins // in servicemix-camel;14305a86b7c124ef4ddd1798249cc3e4bb5d9f6c;Method Changed
Camel;camel-core/src/main/java/org/apache/camel/impl/DefaultExchange.java;// TODO: This method is not used;14366a84c5abc577ecc129c7a35644d45a067403;Method Removal
Camel;camel-core/src/main/java/org/apache/camel/model/ResequencerType.java;// // TODO: find out how to have these two within an <xsd:choice> //;14366a84c5abc577ecc129c7a35644d45a067403;Method Unchanged
Camel;camel-core/src/test/java/org/apache/camel/component/dataset/DataSetSedaTest.java;//TODO: remove this once the delegate processor supports async;14c0bc54968f85717826befe2155cf6488790ffb;Method Changed
Camel;camel-core/src/main/java/org/apache/camel/util/OgnlHelper.java;// TODO: if possible used regexp to parse if its valid/invalid;14d6b4f75d2365fc33d573e96ef0e7c9ff550ddb;Method Unchanged
Camel;camel-core/src/main/java/org/apache/camel/view/XmlGraphGenerator.java;// TODO we should add a transactional client / event driven consumer / polling client;14d6b4f75d2365fc33d573e96ef0e7c9ff550ddb;Method Unchanged
Camel;camel-core/src/main/java/org/apache/camel/view/NodeData.java;// TODO we could add this to the model?;14d6b4f75d2365fc33d573e96ef0e7c9ff550ddb;Method Unchanged
Camel;camel-core/src/main/java/org/apache/camel/converter/IOConverter.java;// TODO: Why is this method deprecated?;14d6b4f75d2365fc33d573e96ef0e7c9ff550ddb;Method Changed
Camel;camel-core/src/main/java/org/apache/camel/builder/ExpressionClauseSupport.java;// TODO: Add support for TokenizerExpression;14d6b4f75d2365fc33d573e96ef0e7c9ff550ddb;Method Unchanged
Camel;camel-core/src/main/java/org/apache/camel/component/file/GenericFileProducer.java;// use a generated filename if no name provided // TODO: Consider to require end user to always provide a filename instead of generating a new name;15c1075101d7bbbca496dcb40a3439994095c48f;Method Changed
Camel;camel-core/src/main/java/org/apache/camel/processor/MulticastProcessor.java;//TODO: make a dynamic countdown latch to avoid having to convert back to list;165e284cd92d8dd146ac2d0a18b0c72dd112d18b;Method Changed
Camel;tests/camel-itest-karaf/src/test/java/org/apache/camel/itest/karaf/CamelGuiceTest.java;// TODO: how to actually test ?;16bc11f2a0580b2d74bddda06bbb0277326aa5f5;Method Unchanged
Camel;camel-core/src/main/java/org/apache/camel/processor/MulticastProcessor.java;// TODO: in streaming mode we need to aggregate on-the-fly;1747263ac3a20c7c92c76f189127e2b26321ac77;Method Changed
